,Text,Summary
68055,in rare senior cardinal spoke before the easter mass address at the vatican on saying the pontiff maintains the support of catholics around the world do not let themselves be influenced by the with you are the cardinals from the roman all the bishops and priests around the said cardinal angelo former vatican secretary of state and the dean of the college of,some catholic leaders condemn church hierarchy in wake of abuse scandal
67464,history will be made in first practice at the italian grand prix when ma qing hua takes to the monza track for qing hua will become the first chinese driver to compete in an official competition when he takes over from narain karthikeyan for the,ma qing hua to drive hrt in first practice session of italian gp at monza
72500,is one of the most talked about games in and highly anticipated games for with combination of fantastic art immersive gameplay and deep the third installment in the franchise has attracted attention from gamers and nongamers the series is the brainchild of creator and game designer ken has been working in the gaming industry since and had early success with shock and,ken levine is the creator of one of this most talked about
37726,coffee industry is being hit by the debt crisis as consumers stay home and tap machines for their caffeine italians are increasingly buying their coffee on the shelves rather than ordering cappuccinos in the local cafes and and the impact is reverberating through the,in consumers in second biggest importer of drank per person
27598,even as much of haiti struggles to recover from last devastating scientists have found some survivors who are coming back from the hopping back from the to be,conservation expedition in haiti turned up frog species not seen in more than two decades
8050,president bush had and meeting with barack obama after he and first lady laura bush welcomed their successors to their future home white house spokesman president bush and laura bush welcome barack and michelle obama to the white house on,president bush calls meeting with obama
36885,hotels are built with the hope have staying for new breed of is the last two years has seen proliferation in the number of hotels housed in anything from tepees to old shipping many are making their way in places traditionally for traditional,the last two years have seen an increase in hotel chains
61748,nearly rifles and pistols meant for iraqi security forces are unaccounted for in according to report to loose caused the pentagon and the command in iraq to lose track of about rifles and pistols provided to the new iraqi national police and the government accountability office told,not aware of reports of insurgents with weapons
19565,pennsylvania authorities issued an arrest warrant this week for high school field hockey coach accused of covering up the alleged rape of one of her players during weekend athletic festival over the man has been charged with rape in the,coach alicia colon is charged with multiple including hindering an investigation
37233,aiman youssef catch break with the superstorm sandy leveled his home and devastated most of his neighborhood in the new york city borough of staten an arctic blast that forecasters warn can have deadly consequences is gripping the,the national weather service warns the bitter cold is expected to continue
87397,the word compromise is never music to the ears of passionate advocates for this is especially true for advocates of overturning the law that was supposed to be suitable compromise itself in but when idealism collides with political risk avoidance and workable solutions become the the deal that was reached on dadt this week between the white the gay rights groups my and champions on capitol hill is that workable solution and will get us where we need to,more than troops fired because of says alexander nicholson
22594,voting in iraqi provincial elections ended peacefully saturday and the mood was festive in some unlike the intimidation and apathy that marked the balloting in an iraqi casts his vote saturday in preliminary results are expected in,president obama praises says of collaborative efforts
22924,attackers launched assaults across iraq over the past killing police recruits and six including iraqi and troops conduct joint patrol monday in the northern city of mosul during push against,attack on awakening council official leaves dead
83090,salvadoran national wanted in connection with the brutal slaying of colorado man was named to the ten most wanted fugitive list on edwin ernesto rivera gracias is accused of killing of richard in august law enforcement officials allege that rivera gracias beat and stabbed the man and then dumped his body in the mountains outside of limon was longtime family acquaintance of the teenage the fbi,suspect in the slaying of colorado man added to ten most wanted list
60301,democrats are taunting texas ted cruz for effectively allowing them victory on controversial nominee for surgeon physician vivek murthy was confirmed monday night on vote despite stiff opposition from the national rifle due in large part to unsuccessful maneuver this weekend meant to register gop opposition to executive action on,vivek murthy was confirmed monday night on vote as the next surgeon general
82685,afghan president hamid karzai bowed to western pressure agreeing to take part in presidential runoff vote in two hamid karzai failed to score first round win in,afghan runoff election scheduled for november officials say
87316,sharifa lost her foot when the syrian jets swooped down and fired missiles at the now the girl sits jaded in hardscrabble displaced persons camp near growing up confused and far from,new report says more than million syrians have been uprooted
38260,smartphone app has been launched to help save an australian indigenous language that is in danger of its creators say the the iwaidja free mobile phone app is the first phone app for an australian indigenous language and aims to prevent the extinction of the iwaidja language one of endangered it is spoken by less than people on croker off the coast of the northern territory of,mobile app designed to preserve language now spoken by less than people
83752,two military humvees are missing after suspected taliban militants attacked transport convoy carrying equipment destined for troops in military and local officials said military officials in afghanistan did not have much detail about attack in northwestern but said the supply convoy was carrying at least two humvees and numerous water tank,convoy carrying military humanitarian aid attacked in pakistan
84740,those trying to draw conclusions from the information trickling from the investigation into the disappearance of malaysia airlines flight should go it is plausible as prime minister the flying for hours after losing contact with air traffic control was with deliberate but not the only logical explanation of the bewildering,bill deliberate acts are not the only possibility in disappearance of malaysia flight
59083,thirty people convicted of drug and other criminal charges will be hanged on fars news agency reported convicted iranian drug dealer is hanged from crane in the southern city of shiraz in,the condemned include people convicted of drug and alcohol offenses
67416,michael stuhlbarg know which way his life would the coen brothers had auditioned him for one part in their new but they decided to go different then they had another part in or perhaps stuhlbarg was left with adrift amid forces he,michael stuhlbarg got lead role in serious after some delay
85628,abu omar said responding to my question of have you become something of standard last seen each other in damascus almost exactly year when abu omar and other activists devised an elaborate plan to smuggle us into the neighborhood of right in the heart of the,peaceful demonstrators want to prove assad regime was violently targeting them
89460,almost one week after he was hospitalized with urinary tract soccer legend condition is continuing to but he remains in an intensive care the was taken off kidney dialysis the albert einstein hospital in sao paulo condition will be monday to see if further dialysis is,soccer star pele will be monday to see if he needs to go back on dialysis
73691,this will come as no surprise if you have know kids or know anyone who has or knows disney is reporting that sales of dresses based on its megahit movie topped million in north america this year,disney plans to release new animated short
44414,the united nations body responsible for preserving the most important cultural sites voted friday to grant status to the church of the nativity in the palestinian city of the declaration by scientific and cultural organization covers the west bank venerated by christians as the birthplace of and the surrounding route taken by religious,the church of the nativity in bethlehem is now the first palestinian world heritage site
46768,olympic swimming champion michael phelps will not face criminal charges in connection with november party at which he was photographed using south carolina sheriff said michael phelps admitted after photo of him using bong was,michael phelps be charged in connection with bong sheriff says
43779,one of youngest yoshikazu tanaka looks the part of young internet the japanese founder and ceo of mobile social gaming business gree arrived for his cnn interview wearing hooded ripped jeans and pair bight red his personal wealth is valued at billion so he can afford to wear whatever he wants to the,yoshikazu tanaka is billionaire founder of mobile games gree
50498,what started as the occupy wall street movement in new york in september has spread across major cities worldwide as call to action against unequal distribution of here is roundup of some of the recent,zuccotti park wears deserted look
338,homeland security officials on wednesday abruptly shelved proposal to build national database of scans after criticism from privacy the which had been posted online last week by the office of immigration and customs sought contractor who could establish searchable database of license with the times and locations where they were spotted by traffic cameras and other,immigration and customs enforcement sought bids for tracking database
109,rebel group in the democratic republic of congo killed at least civilians and abducted others including at least children in previously unreported rampage late last human rights watch said in report released the resistance army carried out the brutal campaign in northeastern congo over four days in the report,rebel group in congo killed at least human rights watch said
87856,hours before the official announcement that president barack obama had landed in for surprise the media both social and electronic were already buzzing with reports about the had he indeed landed was it just should it be reported,early reports had obama on the ground in afghanistan before he actually was
76123,the white house indicated wednesday that report and photo from the controversial new york flyover by plane used as air force one could be released caller on the day of the flyover plane there is big aircraft falling like,white house says it intends to release flyover photo
28948,continued its box office winning streak this as kate beckinsale replaced herself at the top of the her new fourth installment of the popular vampires werewolves debuted in first place with good for per theater improved upon the opening weekend of its rise of the which started with million did not feature but fell short of which kicked off its run with gems paid million to make the action but if past performances are any which earned an cinemascore will have trouble recouping its,debuted in first place with million
17049,helicopter rescue crew airlifted five people from sinking fishing boat off the alaska the coast guard crew members made radio call for help about notifying authorities that the sandy was taking on water and they planned to abandon,the coast guard says the crew sent radio message asking for help
84297,the united states has seemingly erupted this week about what it means to live your especially in where its new religious freedom restoration act faces firestorm from critics who say it uses faith as pretext to discriminate against gay such state laws have been growing ever since the religious freedom restoration act became law in designed to prohibit the federal government from exercise of,native american from tribe not recognized by the feds wins the return of his eagle feathers
1881,ukrainian president viktor yanukovich pledged thursday to make his country bridge between east and after being sworn into office in who was ousted from office in in the beat prime minister yulia tymoshenko in bitterly fought election earlier this month that has left the country deeply,yanukovich pledges to make country bridge between east and
91645,house republicans on wednesday presented what they called alternative to proposals to overhaul health eric cantor says republicans are drafting plan to ensure all americans have access to affordable,eric cantor says plan keeps of health care market
63959,if standing in the rain at the bus stop tomorrow trying to get to and in the you should notice that waiting patiently for the bus with you is bill or if in long line at the convenience waiting to buy lottery ticket in the hopes of striking it and you see that the equally hopeful person in front of you in the powerball line is,bob popular tv show featured interactivity with screen
46337,wildfires that have raged through parts of texas have killed second elias died days after getting trapped in fire and suffering cactus city manager steve said,will be life before the fire and life after the that big
20031,the pilot and of small cargo jet were killed when their aircraft crashed short of the runway while landing at an airport in suburban local authorities the learjet was on its final approach into chicago executive airport in when it went down about the federal aviation administration the plane crashed into forest preserve about mile south of the runway and ended up in said jay the head of firefighting task force that responded to the,killed as plane crashes short of runway
41319,this cnn business traveller takes an look at how the aviation industry is faring as global fuel prices continue to end of the the commercial airline graveyard in the mojave desert outside los angeles,this show examines how airlines are faring as global fuel prices rise
24808,an alabama teen was released on bail two days after his arrest for allegedly plotting to launch in his high derek shrout was in russell county court where district judge david johnson set his bond at prosecutor buster landreau according to cnn affiliates wrbl and the teenager pleaded not guilty to attempted,derek is free after posting bond set by an alabama judge
7600,voices can resound long after for alicky the hardest part of living without her paul but also helping her cope with his sudden readers have his latest book to and for his literary there is the painful dilemma of what to do with an unpublished,author paul died last year from ruptured aneurysm
3413,apps have changed the way we from helping us pack to and from coping with jetlag to booking hotel once landed these handy tools can be used every step of the with relaxing visions of mobile convenience in thought traveling from london to rome using only apps would be and but it quite work out that,smartphone and tablet apps have simplified the travel process
36830,for joe an evenly divided senate would be if midterm elections result in senate the vice president will suddenly find himself in one of his favorite the biden would become crucial player in the providing the vote on key bills and keeping the chamber in democratic hands for the twilight years of president barack,joe biden could play key role in an evenly divided senate
59274,presidential candidates have been wooing voters in iowa for but who wins thursday may simply come down to where the where they meet and the iowa is mixed bag and one of the most evenly divided states in the but the candidates will likely watch two regions more closely than,the central part of iowa is the most democratic area
49372,over the past two years the united press freedom ranking has in the reporters sans frontieres the uk ranked out of and in the index the country went down point ranking at out of,david partner of journalist glenn was detained at heathrow
54462,country music artist and sausage entrepreneur jimmy dean died at his home in sunday police he was member of the country music hall of was with his at the time of his which appears to be from natural said clark of the henrico county police,dean was inducted into the country music hall of fame this year
24413,peanut butter makers not affected by the deadly salmonella outbreak linked to georgia peanut plant are trying to get consumers to keep buying peanut it could be an uphill smucker wants to assure consumers that its jif brand of peanut butter is safe to,makers of peter pan and jif distance firms from salmonella contamination
28115,the strongest earthquake in years in northern bay area struck early injuring dozens of damaging historic buildings in downtown napa and turning fireplaces into the quake struck just six miles southwest of famed wine,one hospital treats more than most suffering bruises and cuts
38105,the daughter of the late singer whitney in medically induced coma after being found unresponsive in has been moved to rehabilitation source close to the family said bobbi kristina had been treated at emory university no details about the transfer to rehab facility were,brown has been in medically induced coma
74366,standing before throngs of cheering supporters palestinian authority president mahmoud abbas called for an end to the division among palestinians in the wake of the united nations upgrading the status as israel refused to acknowledge that newfound people who have achieved the accomplishment of the of when the world wrote the birth certificate of the state of are capable of imposing the will of the people in making the reconciliation he said at packed rally in,abbas said the palestinian mission is
29272,google already is major player in online social networking and other key functions of the now it wants to sell domain the internet giant on monday announced the launch of an google to help small businesses register and manage their web the service is currently in beta testing with small number of,google announces the launch of an service
79339,van carrying flammable liquid rammed into bus in china early sparking an explosion that left people state media both drivers were among the fatalities in the accident in hunan according to xinhua news another person in the van was also,six people are injured
62661,north korea on monday proposed replacing the armistice that ended the korean war with formal peace step it said would pave the way for breaking the international impasse over its nuclear but the communist state said international sanctions imposed after series of nuclear weapons and missile tests should be lifted before it returns to the negotiating suggestion the united states quickly,armistice ended korean war in north suggests replacing with treaty
28993,student october quick guide,learn about the rescue operation that ended standoff in pakistan
25013,covering the trial of bo man once tipped to rise to the summit of chinese reminded me of the time reported on similarly explosive story in the early the trial of the of in this notorious group was led by jiang mao and three of her ideological former movie jiang qing rose to the top tier of the communist party leadership thanks mainly to her close ties with the the architect of the infamous cultural campaign to enforce communism that led to the persecution of millions of,the of was led by jiang mao widow
85839,they are being remembered as people who so much to so yvonne selke and her were aboard germanwings flight that crashed tuesday in the french along with the other people on board that are presumed,third american killed on germanwings flight identified as robert calvo
61192,japanese prime minister naoto kan invoked his recovery from world war ii on tuesday as he sought to turn the attention to the arduous task of yet the challenges awaiting japan remained on full display the day he the country rated the crisis at nuclear plant stricken after last earthquake and tsunami as the most severe on an international system for rating nuclear,the japanese prime minister urged japan to focus on rebuilding
32611,when isis overran their villages near mosul in august small group of middle eastern minority with history reaching back more than picked up weapons and formed their own dwekh nawsha assyrians belong to the rapidly dwindling christian population of iraq recent estimates from the largest christian relief organization in northern iraq put the number as low as compared with million years ago and many among them see the fight with isis as final battle for survival against the,assyrians are an ancient middle eastern minority they are part of the rapidly dwindling christian population of iraq
7047,what can be more in the christmas spirit than grumpy that if equals,grumpy cat christmas movie trailer makes debut
4332,seven players involved in last champions league final have been excused from trip to trinidad and tobago for their friendly international on only jermaine defoe of the england players congratulating john terry will travel to,seven players have been cut from the england squad for friendly in trinidad
25613,hundreds of citizens and community leaders packed into the bay area rapid transit board room and two overflow rooms demanding the group take responsibility for subway shooting that left young man woman holds sign demanding justice for victim oscar grant at bart board of directors meeting,mother calls for stop to cnn affiliate reports
7653,the las conchas fire in new mexico swelled to acres burned and strong winds threatened to be greatest challenge moving in to the fifth day battling the have seen fire behavior we have never seen fire chief doug tucker told reporters,fire consumes acres by thursday
45803,rosary service and funeral were scheduled this week for jaime the immigration and customs enforcement agent who was killed in mexico last the slain agent will be buried in his hometown of he was killed and another agent was injured on highway in san luis potosi state after they were run off the road by two vehicles believed to be driven by members of the zetas drug authorities have,jaime zapata was ambushed by mexican cartel last authorities say
53916,love match for novak world announced his engagement to longtime girlfriend and fellow serb jelena telling the world via his facebook page and,novak djokovic announces his engagement to longtime girlfriend jelena ristic
19731,the headlines seem like something from the congressional hearings are held to debate access to talk show host uses derogatory and misogynist term to describe graduate student seeking access to contraception on her and employers are suing the government to avoid providing coverage for contraception within their insurance plans on the basis of their personal but this is no these conversations about contraception are happening in the present with outdated views and inaccurate information playing leading,supreme court will hear arguments about affordable care act provision
1723,president obama authorized the killing of an american citizen because he had declared war on the united states and encouraged others to bring harm to whatever anwar wrongs and there were many when america kills its own without it not only demeans itself but it hands over propaganda victory to its ayman al leader since the death of osama bin will chide this great country again for abandoning its values and the white authorization of this killing also tells american muslims that precedent has been set by their government to kill american citizens abroad without trial if they oppose their,ed killing anwar demolishes the values that america stands for
1973,the netherlands plans to ban foreigners from the famed pot decision tourism industry hopes goes up in the dutch cabinet late last month said the measure was needed to nuisance and drugs arguing that use of minors has to be countered more strongly and that coffee shops have grown into large points of sale of cannabis that are hard to,dutch plan to ban foreigners from coffee shops where marijuana is sold
14704,john mccain and barack obama hammered away at each judgment on the domestic policy and foreign affairs as they faced off in their second presidential obama tried to tie mccain to president while mccain pushed his image as at the which took place at belmont university in,barack john mccain spend half of debate discussing economy
60815,take handful of screen goddesses and clutch of matinee put them together and one sure to nobody does love like they do in the this month on the screening picked our favorite romantic no bogie and bergman in undoubtedly the silver top romantic movie moment,films full of romance include
55017,for the second time in top general has been cleared of allegations raised in rolling stone article after an investigation by the defense department inspector william caldwell had been accused in the magazine of ordering an army officer to conduct psychological operations to try to influence congressional caldwell is in charge of all training in,magazine said caldwell ordered psy ops on members of congress
77616,year and half after deploying national guard troops to counter illegal immigration on the southwest the department of homeland security and pentagon told congress tuesday they are cutting the number of troops and changing their the which the department characterized as will begin in january and should be completed by several lawmakers told cnn the number of national guard troops on the border will be cut from with responsibilities mainly on the ground to who will support the border mission in the,the transition will begin in january and be completed by dhs says
32929,the wife of kidnapped security expert felix batista broke her silence on wednesday and pleaded with his mexican abductors to have lourdes wife of abducted security expert felix talks to reporters in,felix batista last seen in on december
74115,iranian president mahmoud ahmadinejad said monday he did not call for ban on facebook during the presidential president challengers are using new technology to spread their,mahmoud ahmadinejad says he did not call for ban on facebook
27271,nicole uvieghara is only but old enough to remember the good old days on used to log in to facebook every said native and freshman at arizona state once on my news rarely see posts from my friends and have not posted things on my wall in the past,facebook acknowledges that teen users are becoming less active on the site
45947,it until jihadist militants mounted relentless siege of border town within sight of international television that much of the world realized ethnic kurds were an effective fighting force within but as much of the rest of syria ripped itself apart in vicious civil kurdish minority spent three years quietly building series of in the north of the,syrian kurds have become point of tension between nato allies turkey and the
23407,supreme court rejected ruling from an international human rights court all but assuring opposition candidate leopoldo lopez will not challenge president hugo chavez in next the top court ruled against the court of human which in september came out in support of fight to run for,supreme court rejects international ruling
38969,the saudi lawyer who represented woman kidnapped and raped by seven men said his license to practice has been protest appeared in india in november against the saudi,saudi lawyer abdul rahman says his license to practice is reinstated
44737,the lawyer representing two hikers jailed in iran has been denied request to visit his clients on the eve of their he told cnn on asked to see them before the but the judge told me said masoud,lawyer masoud shafii says he was denied access to the hikers saturday
7579,in recent social games have become increasingly prevalent on mobile providing but also way to maintain contact with family and but for debbie legally the visual displays used to play and chat meant they were off limits to,blind gamer is able to with via social gaming
75182,hundreds filled michigan church on chilly and overcast tuesday to say final goodbye to teenage hero who died just after scoring winning shot that lifted his high basketball team to perfect winning friends and family paid their last respects at funeral for wes leonard of,church fills to remember high school star wes leonard
52963,the conversation between space cadet and world leader had simple to make an ill teenager how south african space tourist and software entrepreneur mark shuttleworth remembers the day he spoke to nelson the hero of south who died last week aged,software entrepreneur mark shuttleworth spoke to nelson mandela from space in
69767,saudi ministry of justice is denying reports that saudi court sentenced man to be surgically paralyzed as punishment for having paralyzed another with the ministry adding that the judge in the case had requests for such series of tweets issued by the justice ministry admonished media outlets for having published those earlier calling them the ministry also slammed human rights organizations for having condemned saudi arabia based on those,the purported sentence first surfaced in local media last month
61927,big spending on transfer deadline day has been criticized by one of the english who questioned how the premier league champions can meet new financial the london team announced loss of million on monday for the year ended june but then smashed the british transfer record with reported million acquisition of spain striker fernando and also laid out million for brazil defender david,arsenal manager unhappy with million outlay on two players
77676,when film director kevin smith tweeted about getting kicked off southwest airlines flight on the airline responded in less than know but was captain leysath really justified in throwing me off flight for which was already smith tweeted at,kevin smith gets quick response to his complaint about southwest airlines
65384,millard who founded habitat for humanity international along with his has officials said he was millard fuller appears with president bush at habitat for humanity event in in,millard fuller and wife linda started organization in
26179,fred hassan is chairman of the board and ceo of fred chairman of the board and ceo of,hassan was the former chairman and ceo of pharmacia corporation
46392,jose mourinho likes to keep them three days after the real madrid manager hinted he was on his way back to england and the insisted his future was still,jose mourinho says he decided where be managing next season
5705,novak djokovic beat world number one rafael nadal to claim the miami masters title sunday and maintain his winning start to djokovic saw off nadal for his straight victory since the start of the including the australian open title and two masters both times at the expense of the spaniard in close,novak djokovic beats rafael nadal to win masters crown in miami
50739,in every medical drama the scene is the the surgeon carefully places the delicate organ in cooler filled with ice and snaps the lid the transplant team then sprints toward the hoping to reach its patient in that speed just for dramatic transplant teams rush because they have less than eight hours to transport the organ to the operating prepare it for surgery and implant it into the,in surgeons can keep donor hearts and lungs during transport
81908,an minute header from beleaguered striker andy carroll handed liverpool victory over merseyside rivals everton in the semifinal of the english fa cup on effort compounded miserable second half for david team after promising opening to the match played at wembley,andy carroll defies critics with header at wembley in fa cup semifinal against everton
48231,drew the imprisoned former police sergeant found guilty of murdering his was charged monday on two counts of murder between september and december peterson allegedly hired someone to try to kill will county attorney james the prosecutor who won conviction in that sent peterson away for according to the illinois attorney,imprisoned drew peterson charged with two counts of murder solicitation
80933,in previous posting about voting mentioned alex an assistant professor of engineering and computer science at the university of whose includes hacking into voting machines in the name of exposing security our votes are counted accurately,students expose vulnerabilities in voting system
1426,the misuse of outer protective garments may have led to the exposure of potentially deadly strain of bacteria at the tulane national primate research center near new the centers for disease control and prevention said an employee at the center has tested positive for the which is kept at the the employee is not and jason cdc said the bacteria probably threat to the general,the error have led to the bacteria clinging to inner garments and getting carried of inspectors say
84020,former world number one tiger woods missed the cut for only the third time in major tournament as american duo jason dufner and keegan bradley lead the way after the second round of the pga at johns who is playing only his second tournament after four months out with injuries to his left carded to go with his opening for total of six shots off the,tiger woods misses the cut at the pga championship on
90945,few people like monday mornings and for world novak his latest in melbourne very nearly signalled the end of his quest to win third consecutive australian open the serbian survived an epic fourth round encounter with stanislas wawrinka that stretched beyond local eventually wrapping up monumental,defending champion novak djokovic survives epic to defeat stanislas wawrinka
49464,an estimated argentines marched on the historic plaza de mayo in the buenos on wednesday to demand more reflecting top priority among according to recent graciela lopez takes part in the march on her son was killed by drunk driver in,buenos aires rally is largest of various protests across argentina
44387,iraqi lawmakers approved new government monday and tapped former prime minister nuri as one of the three vice several key cabinet posts remain,spokesman hails step towards political
2004,congress is attempting to eviscerate health like many women across am the senate will vote on legislation proposed by roy blunt that would allow employers to deny coverage for health care services that are considered morally,felicity congress is trying to eviscerate health care
43175,being in the middle of an animal sanctuary in indonesia was huge change from the rugged sumatran jungle where the sumatra crew and had spent the last week and we set out to go to an animal sanctuary during one of the local people we were working with suggested it while we were filming in the we had few hours in the schedule between leaving jambi and flying out of so we decided to go see some of the animals we able to see while we were,jenni watts produced new environment special
9306,divided federal appeals court has ruled that federal regulators went too far with new rules to control air pollution in parts of the eastern united the decision tuesday is blow for several the obama administration and environmental which had sought to prevent from emitting possibly unhealthy levels of contaminants across state requirement known as the,the regulations sought to limit contaminants released by
12495,the minnesota vikings made and they want to things the two statements were repeated several times by owners and members of the front office during media day news conference the first minutes of which were dominated by questions about star running back adrian who stands accused of felony child abuse in,made and we needed to get this minnesota vikings says
9201,world number one rafael nadal battled back from set down to finally topple american andy roddick in an epic clash at the atp world tour the spaniard looked out of sorts in the opening set but slowly returned to form as the game progressed to secure victory in two hours,world number one rafael nadal beats american andy roddick at the atp world tour finals
39662,terrorism groups are using facebook and other social networking sites to recruit israeli citizens as the israeli government warned israel says its citizens have been targeted by terrorist groups seeking to recruit spies on,terrorist groups using social networking to recruit israel says
89174,human rights activists decried tuesday haitian decision not to try former dictator duvalier for human rights the united nations office of the high commissioner for human rights said duvalier must be prosecuted for alleged crimes that include rape and extrajudicial,haitian judge says duvalier will face corruption charges
46690,geek is chic these especially around the san diego convention the worlds of video games and comic books collided for four days at the annual international gaming has always played an important role in this,several large hollywood studios participate this leaving room for gaming
5343,despite what his past and current personas might in actor michael kenneth williams is extremely cordial and not at all williams is probably best known for his role as gay boy omar little on and currently plays bootlegger chalky white on and while the actor is set to play clan member dirty bastard in forthcoming film about the williams is most excited about his new role as an executive,michael kenneth williams is stepping behind the camera as producer of new film
41450,shall never surrender or so stated william barret travis in an letter he wrote as mexican soldiers bore down on his overmatched troops at the more than years texas fighting heirs at the the governor are drawing their line in the sand for another not to grant benefits to partners of its troops as they would for,texas military chief cites conflict between federal on marriage benefits
17177,deadly of returned sunday night with one ominous rallying cry men must and few now that in its fourth the fantasy series could be excused if it started to show wear and after seen programs with simpler plots and fewer cast members lose their edge in less,of began its fourth season on sunday
70769,with combat operations in afghanistan ending this president barack obama announced he plans for almost american troops to remain in the country in if the afghan government signs security will bring longest war to responsible obama said in the white house rose garden in detailing the strategy to have virtually all forces out of afghanistan by the end of shortly before his presidency,white house cost of extended afghanistan deployment billion
27168,nicaragua president daniel ortega said thursday that the nation is breaking relations with colombia solidarity with the ecuadoran nicaragua president daniel ortega said the nation is breaking diplomatic relations with,president daniel ortega said move with ecuador
43949,three activists were injured in clash with japanese whalers off the coast of antarctica on wednesday when the japanese crew used grappling hooks against pursuit the conservation group sea shepherd said in the environmental group claims two of its crew from the ship steve irwin were struck in the shoulder with iron grappling hooks and one crewmember was struck twice in the face with long bamboo,conservation group claims crew were attacked with grappling hooks
2737,cnn aston villa manager gerard houllier will take control of the squad after english premier league match against bolton houllier was presented to the media as martin successor on september but was unable to begin work with his new club due to his current role with the french football federation where he is technical,gerard houllier will take control at aston villa after match with bolton
32211,at least people were killed and more were injured friday in the northern mediterranean city of said medical source in benghazi who was not identified for security the casualties occurred as thousands of libyans took to the streets to voice their discontent over leader moammar witnesses,witness says square in benghazi is full of but there is little sign of police or military
17677,war against the drug cartels is frustrated by army and interagency according to diplomatic cables obtained by but amid some downbeat assessments of the challenges faced by president felipe some of the cables celebrate outstanding successes against the cartel one such success came almost exactly year when mexican naval unit killed one of leading cartel arturo beltran leyva with plenty of assistance from the united,diplomatic cables spell out successes against mexican cartels
55806,the department of homeland security and fbi have issued security bulletins to raise awareness regarding in attacking sports and entertainment venues as well as luxury the which were sent to law enforcement said that authorities did not know of any credible or specific terrorist plots to attack arenas or luxury,department of homeland security and fbi issue security bulletins
81856,the hopes of marking her diamond jubilee with win at royal ascot were dashed when her carlton was beaten by lengths by so you think in the showpiece prince of wales stakes on the victory marked redemption for the aiden in this race last year to the the new horse has traveled the globe in search of an elusive group,so you think wins prince of wales stakes at royal ascot
22761,former manchester united star eric cantona was arrested and cautioned wednesday in london on suspicion of press association metropolitan police confirmed that they arrested and subsequently cautioned man in his on suspicion of common but declined to release his,metropolitan police say they arrested man wednesday but release name
75996,for mike beijing bureau chief at the one of the most significant moments in that heady spring of in china happened at beijing time on the morning of june as the crackdown was taking mike described the gunfire and the,chinoy was on the balcony at the beijing hotel near tiananmen square
86312,the man who authorities accused of assaulting the son of nfl player adrian peterson now faces murder state prosecutors released grand jury indictment monday that charges joseph robert patterson with,minnesota viking adrian son died earlier this month
87699,nha vietnam football fans daniel and clinton rowling were in vietnam late december when the country won major tournament for the first the event sparked wild celebrations in the south east asian nation but joy soon turned to carnage as five people died and dozens were injured in the they share their celebration five people were killed on vietnamese roads as football joy got out of,daniel and clinton rowling in vietnam when the country wins asean cup
41876,libyan rebels expressed fresh optimism that moammar reign is about to crumble as deadline looms for gadhafi loyalists to disarm or face think this this killer knows that he has nowhere to said ali finance and oil minister for the national transitional,opposition think this this killer knows that he has no where to
6793,curtis reeves the man charged with murder for fatally shooting man inside florida movie theater in was released from florida jail on bond reeves had been held in the pasco county jail without bond since he shot and killed navy veteran chad oulson after confrontation over text messaging inside movie theater in the tampa suburb of wesley,curtis reeves was released on bond friday
65905,as the developing world becomes more the rise in prosperity in these countries could also result in the rise of lethal infectious disease tuberculosis changes in diets and lifestyles are taking place across emerging particularly as more people move to urban settings to earn the changes are resulting in higher rates of diseases such as the condition decreases the ability to produce insulin and absorb glucose from the bloodstream and affected million globally in the international diabetes federation predicts that over of diabetes can be prevented or delayed with the adoption of healthier diabetes also triples the risk person will develop,nine million people developed tb last year and million died of the disease
21385,in an age when many people become celebrities through looks or jennifer rise to fame came the through hard work and jennifer hudson is in new secret life of and recently released her first solo,jennifer rise to fame came the way
